game_id,agent_id,round_1,round_2,vote_1,vote_2,target_changed,justified,unjustified_reversal,raw_llm_response,parse_failed
Game_mixtral_8x7B_Run46_0116_0835,Agent_4,1,2,Agent_1,Agent_9,True,False,True,"```json
{
  ""suspect_1"": ""Agent_0"",
  ""suspect_2"": ""Agent_9"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_6,1,2,Agent_1,Agent_4,True,True,False,"```json
{
  ""suspect_1"": ""Agent_1"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": true,
  ""unjustified_reversal"": false
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_6,2,3,Agent_4,,True,True,False,"```json
{
  ""suspect_1"": ""Agent_8"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": true,
  ""unjustified_reversal"": false
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_2,1,2,Agent_1,Agent_4,True,False,True,"```json
{
  ""suspect_1"": ""Agent_1"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_9,1,2,Agent_1,Agent_4,True,False,True,"```json
{
  ""suspect_1"": ""Agent_1"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_3,1,2,Agent_1,Agent_4,True,False,True,"```json
{
  ""suspect_1"": ""Agent_1"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_3,2,3,Agent_4,,True,False,True,"```json
{
  ""suspect_1"": ""Agent_9"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_7,1,2,Agent_1,Agent_4,True,False,True,"```json
{
  ""suspect_1"": ""Agent_0"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run46_0116_0835,Agent_7,2,3,Agent_4,,True,False,True,"```json
{
  ""suspect_1"": ""Agent_1"",
  ""suspect_2"": ""Agent_4"",
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
Game_mixtral_8x7B_Run63_0116_0841,Agent_7,1,2,Agent_0,,True,False,True,"```json
{
  ""suspect_1"": ""Agent_0"",
  ""suspect_2"": null,
  ""target_changed"": true,
  ""justification_provided"": false,
  ""unjustified_reversal"": true
}
```",False
